Date,Open,High,Low,Close,5,6
2021-09-15T09:15:00+0530,36543.55,36620.5,36513.15,36545.55,0,0
2021-09-15T09:20:00+0530,36542.25,36553,36498.95,36534.5,0,0
2021-09-15T09:25:00+0530,36525.2,36549.9,36520.2,36542.65,0,0
2021-09-15T09:30:00+0530,36541.3,36576.15,36541.3,36563.3,0,0
2021-09-15T09:35:00+0530,36566.4,36608,36563.7,36573.65,0,0
2021-09-15T09:40:00+0530,36570.4,36599.8,36564.7,36573.45,0,0
2021-09-15T09:45:00+0530,36571.65,36591.7,36549.7,36580.4,0,0
2021-09-15T09:50:00+0530,36581.85,36597.75,36577.05,36592.9,0,0
2021-09-15T09:55:00+0530,36593.05,36600.3,36576.7,36594.65,0,0
2021-09-15T10:00:00+0530,36597.8,36643.65,36592.1,36641.7,0,0
2021-09-15T10:05:00+0530,36639.85,36648.65,36620.8,36628.4,0,0
2021-09-15T10:10:00+0530,36631.05,36631.05,36613.6,36617.9,0,0
2021-09-15T10:15:00+0530,36618.25,36645.55,36617.85,36639.15,0,0
2021-09-15T10:20:00+0530,36639.9,36655.95,36604.75,36610.3,0,0
2021-09-15T10:25:00+0530,36611.1,36614.25,36584.95,36613.2,0,0
2021-09-15T10:30:00+0530,36614,36650.75,36613.1,36650,0,0
2021-09-15T10:35:00+0530,36645.75,36695,36639.25,36695,0,0
2021-09-15T10:40:00+0530,36692.45,36709.75,36673.8,36707.8,0,0
2021-09-15T10:45:00+0530,36702.45,36709.2,36662.1,36671.95,0,0
2021-09-15T10:50:00+0530,36672.1,36680.65,36645.2,36661,0,0
2021-09-15T10:55:00+0530,36660.85,36674.3,36644.4,36660.45,0,0
2021-09-15T11:00:00+0530,36661.6,36692.6,36654.2,36669.05,0,0
2021-09-15T11:05:00+0530,36674.2,36685,36662.55,36681.8,0,0
2021-09-15T11:10:00+0530,36682.4,36690.45,36665.15,36666.6,0,0
2021-09-15T11:15:00+0530,36666.9,36683.3,36644.55,36681.6,0,0
2021-09-15T11:20:00+0530,36679.85,36686,36663.05,36683.55,0,0
2021-09-15T11:25:00+0530,36682.2,36688.85,36669.55,36683.95,0,0
2021-09-15T11:30:00+0530,36683.85,36692.75,36669.55,36676.6,0,0
2021-09-15T11:35:00+0530,36679.6,36704.1,36676.05,36703.1,0,0
2021-09-15T11:40:00+0530,36702.7,36703.9,36667.2,36679.55,0,0
2021-09-15T11:45:00+0530,36678.5,36687.5,36672.85,36677.9,0,0
2021-09-15T11:50:00+0530,36676.35,36689.6,36668.85,36686.35,0,0
2021-09-15T11:55:00+0530,36683.55,36691.95,36649.2,36661.2,0,0
2021-09-15T12:00:00+0530,36659.15,36668.65,36646.3,36651.5,0,0
2021-09-15T12:05:00+0530,36645.2,36654.15,36625.95,36648.2,0,0
2021-09-15T12:10:00+0530,36646.2,36665.6,36646.05,36647.5,0,0
2021-09-15T12:15:00+0530,36648.75,36652.3,36620.8,36626.5,0,0
2021-09-15T12:20:00+0530,36625.6,36640.2,36620.35,36637.85,0,0
2021-09-15T12:25:00+0530,36635.1,36661.1,36632.85,36657.55,0,0
2021-09-15T12:30:00+0530,36654.75,36670.95,36653.2,36659.3,0,0
2021-09-15T12:35:00+0530,36659.25,36665.75,36644.4,36650.95,0,0
2021-09-15T12:40:00+0530,36648.5,36654.2,36633.9,36641,0,0
2021-09-15T12:45:00+0530,36636.7,36642.5,36615.55,36629.25,0,0
2021-09-15T12:50:00+0530,36629.45,36653.2,36627.55,36646.65,0,0
2021-09-15T12:55:00+0530,36644.85,36667.2,36638.6,36661.75,0,0
2021-09-15T13:00:00+0530,36660.7,36668.2,36647,36647,0,0
2021-09-15T13:05:00+0530,36649.4,36729.1,36646.1,36712.9,0,0
2021-09-15T13:10:00+0530,36713.1,36735.45,36710.45,36717.35,0,0
2021-09-15T13:15:00+0530,36715.6,36722.35,36703.25,36712.4,0,0
2021-09-15T13:20:00+0530,36712.55,36713.3,36671.15,36681.8,0,0
2021-09-15T13:25:00+0530,36679.15,36698.15,36675.85,36692.45,0,0
2021-09-15T13:30:00+0530,36695.4,36726.3,36692.8,36720.05,0,0
2021-09-15T13:35:00+0530,36720.55,36745.9,36710.95,36738.15,0,0
2021-09-15T13:40:00+0530,36741.35,36779.75,36736.95,36772.4,0,0
2021-09-15T13:45:00+0530,36773.25,36799.8,36765.8,36780,0,0
2021-09-15T13:50:00+0530,36781.6,36788.55,36748.95,36750.35,0,0
2021-09-15T13:55:00+0530,36749.75,36765.45,36748.25,36755,0,0
